gbifID	verbatimScientificName	decimalLatitude	decimalLongitude			stateProvince	county	municipality	locality
2629795448	Amazona oratrix	22.2275	-98.950555			San luis potosi	CIUDAD VALLES		2327 m al Estenoreste del Centro de Cultura para la Conservación
2629793580	Amazona oratrix	22.280833	-98.895			San luis potosi	CIUDAD VALLES		Rancho La Hormiga 3
2620000030	Amazona oratrix	16.759315	-88.583464			Stann Creek			
2609123701	Amazona oratrix	18.452128	-92.572863			Tabasco			
2609098983	Amazona oratrix	18.471951	-93.108454			Tabasco			
2571359562	Amazona oratrix					Stann Creek			"Southern Highway, Kendal"
2563569394	Amazona oratrix	22.913227	-97.800305			Tamaulipas			
2563523315	Amazona oratrix	22.863761	-97.90951			Tamaulipas			
2563519510	Amazona oratrix	22.953875	-97.811524			Tamaulipas			
2563519315	Amazona oratrix	22.888473	-97.865495			Tamaulipas			
2563519297	Amazona oratrix	22.810746	-97.952919			Tamaulipas			
2563519258	Amazona oratrix	22.836414	-97.861459			Tamaulipas			
2563518573	Amazona oratrix	22.945361	-97.891199			Tamaulipas			
2563513113	Amazona oratrix	22.952471	-97.857802			Tamaulipas			
2563511783	Amazona oratrix	22.94317	-97.808436			Tamaulipas			
2563511230	Amazona oratrix	22.949719	-97.976117			Tamaulipas			
2549995523	Amazona oratrix	17.686609	-88.642611			Orange Walk			
2429621379	Amazona oratrix	23.513261	-97.75485			Tamaulipas			
229733799	Amazona oratrix	21.165043	-101.7025			Guanajuato	León		Club Campestre de Leon
2275308449	Amazona oratrix	16.1598	-88.763496			Toledo			Starcher PC 2
2275308363	Amazona oratrix	16.163401	-88.763901			Toledo			Starcher PC 4
2275307991	Amazona oratrix	16.1581	-88.763298			Toledo			Starcher PC 1
2275306828	Amazona oratrix	16.271799	-88.733002			Toledo			Block 127 PC 1
2275306757	Amazona oratrix	16.2789	-88.731903			Toledo			Block 127 PC 5
2275306724	Amazona oratrix	16.271799	-88.733002			Toledo			Block 127 PC 1
2275306722	Amazona oratrix	16.2771	-88.732201			Toledo			Block 127 PC 4
2275306706	Amazona oratrix	16.2736	-88.732803			Toledo			Block 127 PC 2
2275306684	Amazona oratrix	16.271799	-88.733002			Toledo			Block 127 PC 1
2275306296	Amazona oratrix	16.2736	-88.732803			Toledo			Block 127 PC 2
2275306275	Amazona oratrix	16.280701	-88.731697			Toledo			Block 127 PC 6
2275305604	Amazona oratrix	16.2789	-88.731903			Toledo			Block 127 PC 5
2275305496	Amazona oratrix	16.280701	-88.731697			Toledo			Block 127 PC 6
2275305487	Amazona oratrix	16.275299	-88.732498			Toledo			Block 127 PC 3
2275305438	Amazona oratrix	16.2736	-88.732803			Toledo			Block 127 PC 2
2275305395	Amazona oratrix	16.2736	-88.732803			Toledo			Block 127 PC 2
